Fri May 12 14:52:39 2023    debug_timer_rec

         447405400 function calls (431447914 primitive calls) in 908.807 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        7    0.000    0.000    0.000    0.000 __init__.py:1327(getLogger)
   211880    0.960    0.000    1.828    0.000 __init__.py:134(check_shape)
    32631    0.093    0.000    0.153    0.000 __init__.py:1348(is_math_text)
   273764    0.480    0.000    2.889    0.000 __init__.py:1361(_to_unmasked_float_array)
        3    0.000    0.000    0.000    0.000 __init__.py:1378(_fixupParents)
    30160    0.625    0.000  490.691    0.016 __init__.py:1420(inner)
        5    0.000    0.000    0.000    0.000 __init__.py:144(_DType_reduce)
        3    0.000    0.000    0.000    0.000 __init__.py:1447(__init__)
      480    0.001    0.000    0.001    0.000 __init__.py:1467(debug)
   635645    0.388    0.000    0.388    0.000 __init__.py:154(<genexpr>)
   125837    0.333    0.000    1.147    0.000 __init__.py:163(match)
        1    0.000    0.000    0.001    0.001 __init__.py:165(_get_version)
      473    0.000    0.000    0.000    0.000 __init__.py:1657(<lambda>)
   181050    0.681    0.000    2.212    0.000 __init__.py:1709(_safe_first_finite)
    60370    0.320    0.000    0.476    0.000 __init__.py:1719(safe_isfinite)
        2    0.000    0.000    0.000    0.000 __init__.py:1720(getEffectiveLevel)
    30460    0.070    0.000    0.082    0.000 __init__.py:173(check_getitem)
      480    0.000    0.000    0.000    0.000 __init__.py:1734(isEnabledFor)
   120750    0.504    0.000    0.980    0.000 __init__.py:1749(<genexpr>)
    60320    0.089    0.000    0.248    0.000 __init__.py:1752(sanitize_sequence)
     4051    0.032    0.000    0.060    0.000 __init__.py:1760(normalize_kwargs)
        6    0.000    0.000    0.002    0.000 __init__.py:178(sub)
     4051    0.023    0.000    0.023    0.000 __init__.py:1799(<dictcomp>)
    62533    0.063    0.000    0.073    0.000 __init__.py:1868(_str_equal)
        1    0.000    0.000    0.001    0.001 __init__.py:187(<lambda>)
   121334    0.204    0.000    0.273    0.000 __init__.py:1879(_str_lower_equal)
    92351    0.309    0.000    0.309    0.000 __init__.py:190(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:195(caching_module_getattr)
        3    0.000    0.000    0.000    0.000 __init__.py:202(_checkLevel)
   132586    0.382    0.000    0.489    0.000 __init__.py:2028(_setattr_cm)
       15    0.000    0.000    0.000    0.000 __init__.py:2073(__init__)
        7    0.000    0.000    0.000    0.000 __init__.py:2081(getLogger)
        5    0.000    0.000    0.000    0.000 __init__.py:2085(add)
        2    0.000    0.000    0.000    0.000 __init__.py:216(<dictcomp>)
        2    0.000    0.000    0.000    0.000 __init__.py:2193(_backend_module_name)
        7    0.000    0.000    0.001    0.000 __init__.py:220(__getattr__)
        1    0.000    0.000    0.000    0.000 __init__.py:2202(_setup_new_guiapp)
    30400    0.211    0.000    0.644    0.000 __init__.py:221(connect)
        1    0.000    0.000    0.005    0.005 __init__.py:225(compile)
        9    0.000    0.000    0.000    0.000 __init__.py:228(_acquireLock)
        1    0.000    0.000    0.001    0.001 __init__.py:23(find_qt)
   181050    0.281    0.000    0.475    0.000 __init__.py:2324(_unpack_to_numpy)
        9    0.000    0.000    0.000    0.000 __init__.py:237(_releaseLock)
      120    0.001    0.000    0.007    0.000 __init__.py:238(_connect_picklable)
        6    0.000    0.000    0.000    0.000 __init__.py:24(_module_matches_namespace)
       15    0.000    0.000    0.000    0.000 __init__.py:252(method)
       20    0.000    0.000    0.000    0.000 __init__.py:268(disconnect)
   125844    0.349    0.000    0.515    0.000 __init__.py:272(_compile)
        1    0.000    0.000    0.000    0.000 __init__.py:275(create_unicode_buffer)
      305    0.000    0.000    0.000    0.000 __init__.py:275(wrapper)
        5    0.001    0.000    0.001    0.000 __init__.py:285(select_matching_signature)
311073/311063    0.950    0.000    1.590    0.000 __init__.py:294(process)
       30    0.000    0.000    0.000    0.000 __init__.py:316(blocked)
        5    0.000    0.000    0.000    0.000 __init__.py:342(__init__)
        5    0.000    0.000    0.000    0.000 __init__.py:370(_FuncPtr)
     3442    0.015    0.000    0.074    0.000 __init__.py:386(__getattr__)
     3442    0.056    0.000    0.056    0.000 __init__.py:393(__getitem__)
        1    0.000    0.000    0.000    0.000 __init__.py:44(__init__)
        2    0.000    0.000    0.000    0.000 __init__.py:46(_get_running_interactive_framework)
   241200    0.244    0.000    0.524    0.000 __init__.py:510(is_scalar_or_string)
       10    0.000    0.000    0.000    0.000 __init__.py:53(__get__)
      305    0.002    0.000    0.028    0.000 __init__.py:553(_get_data_path)
        6    0.000    0.000    0.000    0.000 __init__.py:57(find_spec)
       10    0.000    0.000    0.001    0.000 __init__.py:612(__init__)
        3    0.000    0.000    0.000    0.000 __init__.py:628(__setitem__)
   123763    0.802    0.000    1.025    0.000 __init__.py:65(check_isinstance)
  1550311    1.933    0.000    2.658    0.000 __init__.py:658(__getitem__)
       30    0.000    0.000    0.000    0.000 __init__.py:665(clear)
        1    0.000    0.000    0.000    0.000 __init__.py:681(_get_backend_or_none)
       30    0.000    0.000    0.000    0.000 __init__.py:695(gen_batches)
       15    0.001    0.000    0.001    0.000 __init__.py:73(get_projection_class)
    90475    0.295    0.000    3.779    0.000 __init__.py:742(safe_masked_invalid)
        3    0.000    0.000    0.000    0.000 __init__.py:795(__init__)
   304442    0.105    0.000    0.105    0.000 __init__.py:80(<genexpr>)
       20    0.000    0.000    0.001    0.000 __init__.py:859(__init__)
       20    0.000    0.000    0.000    0.000 __init__.py:860(<dictcomp>)
       20    0.000    0.000    0.000    0.000 __init__.py:862(__contains__)
   726755    1.065    0.000    1.303    0.000 __init__.py:865(clean)
   726755    0.238    0.000    0.238    0.000 __init__.py:868(<listcomp>)
       31    0.000    0.000    0.000    0.000 __init__.py:89(find_spec)
